时间,基准收益,策略收益,当日盈利,当日亏损,当日买入,当日卖出,超额收益(%),emotion_phase,emotion_score
2019-01-02 16:00:00,-1.37,0,0,0,0,0,1.39,4,80.25
2019-01-03 16:00:00,-1.52,0.6,604,0,9107,0,2.15,3,66.06
2019-01-04 16:00:00,0.84,2.34,1731,0,19866,0,1.49,3,65.68
2019-01-07 16:00:00,1.45,4.5,2164.49,0,0,-11509,3.01,4,90.56
2019-01-08 16:00:00,1.23,5.04,540.23,0,0,-9767,3.76,4,76.79
2019-01-09 16:00:00,2.25,4.8,0,-236.14,10351,-3144,2.49,3,61.17
2019-01-10 16:00:00,2.06,4.53,0,-278.32,0,-4323,2.42,4,72.4
2019-01-11 16:00:00,2.79,5.05,524,0,9800,0,2.2,3,56.48
2019-01-14 16:00:00,1.9,5.41,356,0,0,0,3.44,3,53.51
2019-01-15 16:00:00,3.9,5.19,0,-218,0,0,1.24,3,52.54
2019-01-16 16:00:00,3.92,5.3,115.23,0,0,-2766,1.33,4,72.42
2019-01-17 16:00:00,3.35,3.65,0,-1648,0,0,0.29,3,59.23
2019-01-18 16:00:00,5.23,3.22,0,-438.12,0,-9119,-1.91,3,63.09
2019-01-21 16:00:00,5.81,3.66,440.49,0,10164,-1511,-2.03,3,59.36
2019-01-22 16:00:00,4.41,3.56,0,-96,0,0,-0.81,4,73.74
2019-01-23 16:00:00,4.33,3.25,0,-314,10266,0,-1.04,3,50.41
2019-01-24 16:00:00,4.92,2.58,0,-667,0,0,-2.23,3,64.14
2019-01-25 16:00:00,5.77,1.94,0,-637.74,0,-9744,-3.62,3,68.8
2019-01-28 16:00:00,5.75,1.83,0,-116.1,0,-10099,-3.71,4,70.59
2019-01-29 16:00:00,6.09,1.76,0,-70.54,941,-9537,-4.08,0,29.62
2019-01-30 16:00:00,5.24,1.66,0,-92,1210,0,-3.4,0,39.25
2019-01-31 16:00:00,6.34,1.61,0,-53.89,1630,-887,-4.45,0,23.29
2019-02-01 16:00:00,7.86,1.73,116.89,0,1528,-1106,-5.68,0,21.86
2019-02-11 16:00:00,9.83,1.96,235,0,19625,0,-7.17,3,65.35
2019-02-12 16:00:00,10.62,2.51,544.47,0,0,-1532,-7.33,4,83.6
2019-02-13 16:00:00,12.83,2.7,194.2,0,0,-796,-8.98,4,81.19
2019-02-14 16:00:00,13,3.78,1076.43,0,0,-570,-8.16,4,79.28
2019-02-15 16:00:00,10.9,3.49,0,-286.54,0,-5544,-6.68,4,74
2019-02-18 16:00:00,14.45,3.91,423.24,0,0,-2760,-9.21,4,82.44
2019-02-19 16:00:00,14.25,3.81,0,-102.4,0,-6399,-9.14,4,89.21
2019-02-20 16:00:00,14.66,3.89,76.81,0,0,-3191,-9.39,4,74.89
2019-02-21 16:00:00,14.35,3.93,41,0,0,0,-9.11,3,65.54
2019-02-22 16:00:00,16.92,4.03,101.37,0,0,-1627,-11.02,4,82.61
2019-02-25 16:00:00,23.88,4.17,138.43,0,0,-565,-15.91,4,88.06
2019-02-26 16:00:00,22.39,4.21,39.4,0,0,-600,-14.85,4,88.05
2019-02-27 16:00:00,22.18,4.25,47,0,0,0,-14.68,3,63.71
2019-02-28 16:00:00,21.88,4.18,0,-78,0,0,-14.52,3,68.86
2019-03-01 16:00:00,24.55,4.16,0,-13,0,0,-16.37,0,48.37
2019-03-04 16:00:00,26.02,4.22,61,0,0,0,-17.3,3,57.33
2019-03-05 16:00:00,26.75,4.27,49,0,0,0,-17.74,4,87.94
2019-03-06 16:00:00,27.82,4.3,30,0,0,0,-18.4,4,83.24
2019-03-07 16:00:00,26.51,4.41,104,0,0,0,-17.47,4,81.19
2019-03-08 16:00:00,21.49,4.24,0,-169,0,0,-14.2,4,88.3
2019-03-11 16:00:00,23.89,4.31,73,0,0,0,-15.8,0,46.02
2019-03-12 16:00:00,24.74,4.34,24,0,0,0,-16.35,3,55.09
2019-03-13 16:00:00,23.7,4.4,69,0,0,0,-15.6,4,70.55
2019-03-14 16:00:00,22.85,4.27,0,-135.29,0,-289,-15.12,0,35.81
2019-03-15 16:00:00,24.39,4.24,0,-28.05,0,-1054,-16.2,0,18.2
2019-03-18 16:00:00,27.94,3.92,0,-326,20531,0,-18.77,3,55.88
2019-03-19 16:00:00,27.35,3.38,0,-536,10209,0,-18.82,3,56.16
2019-03-20 16:00:00,27.4,3.47,90,0,0,0,-18.78,3,63.03
2019-03-21 16:00:00,27.44,3.54,70,0,0,0,-18.75,3,66.95
2019-03-22 16:00:00,27.34,4.03,487,0,0,0,-18.31,4,75.07
2019-03-25 16:00:00,24.32,3.61,0,-417,0,0,-16.66,3,67.26
2019-03-26 16:00:00,22.91,2.75,0,-858,0,0,-16.4,4,74.43
2019-03-27 16:00:00,24.34,3,248.38,0,0,-19618,-17.16,0,30.59
2019-03-28 16:00:00,23.84,2.66,0,-337,0,0,-17.1,4,78.13
2019-03-29 16:00:00,28.62,2.63,0,-34.18,1457,-10181,-20.21,0,33.37
