时间,基准收益,策略收益,当日盈利,当日亏损,当日买入,当日卖出,超额收益(%),emotion_phase,emotion_score
2019-01-02 16:00:00,-1.37,0,0,0,0,0,1.39,4,80.25
2019-01-03 16:00:00,-1.52,0,0,0,0,0,1.54,4,66.06
2019-01-04 16:00:00,0.84,0,0,0,0,0,-0.83,4,65.68
2019-01-07 16:00:00,1.45,0,0,0,0,0,-1.43,4,90.56
2019-01-08 16:00:00,1.23,0,0,0,0,0,-1.22,4,76.79
2019-01-09 16:00:00,2.25,-0.19,0,-185,18410,0,-2.39,3,61.17
2019-01-10 16:00:00,2.06,-1.99,0,-1809,19556,0,-3.97,3,72.4
2019-01-11 16:00:00,2.79,-2.99,0,-1000.6,0,-16598,-5.62,3,56.48
2019-01-14 16:00:00,1.9,-0.7,2291,0,18680,0,-2.55,3,53.51
2019-01-15 16:00:00,3.9,-2.32,0,-1616,0,0,-5.99,3,52.54
2019-01-16 16:00:00,3.92,-2.46,0,-141,0,0,-6.14,3,72.42
2019-01-17 16:00:00,3.35,-2.56,0,-102,0,0,-5.72,3,59.23
2019-01-18 16:00:00,5.23,-3.8,0,-1241.29,0,-8290,-8.58,3,63.09
2019-01-21 16:00:00,5.81,-3.26,545,0,9548,0,-8.57,3,59.36
2019-01-22 16:00:00,4.41,-3.2,54,0,0,0,-7.29,3,73.74
2019-01-23 16:00:00,4.33,-3.1,107.98,0,0,-9020,-7.12,3,50.41
2019-01-24 16:00:00,4.92,-3.58,0,-481,9254,0,-8.1,3,64.14
2019-01-25 16:00:00,5.77,-4.17,0,-592,0,0,-9.4,3,68.8
2019-01-28 16:00:00,5.75,-3.71,456.42,0,0,-17576,-8.95,3,70.59
2019-01-29 16:00:00,6.09,-4,0,-282.96,0,-8959,-9.51,0,29.62
2019-01-30 16:00:00,5.24,-5.17,0,-1175,1210,0,-9.89,0,39.25
2019-01-31 16:00:00,6.34,-5.41,0,-235,1304,0,-11.05,0,23.29
2019-02-01 16:00:00,7.86,-5,404.89,0,1528,-1106,-11.92,0,21.86
2019-02-11 16:00:00,9.83,-4.62,379,0,9270,0,-13.16,3,65.35
2019-02-12 16:00:00,10.62,-4.16,464,0,0,0,-13.36,3,83.6
2019-02-13 16:00:00,12.83,-3.94,222,0,0,0,-14.86,3,81.19
2019-02-14 16:00:00,13,-3.29,648,0,0,0,-14.42,3,79.28
2019-02-15 16:00:00,10.9,-3.14,150,0,0,0,-12.66,3,74
2019-02-18 16:00:00,14.45,-2.31,826,0,0,0,-14.64,3,82.44
2019-02-19 16:00:00,14.25,-2.29,26.51,0,0,-12487,-14.48,4,89.21
2019-02-20 16:00:00,14.66,-2.3,0,-11,0,0,-14.79,3,74.89
2019-02-21 16:00:00,14.35,-2.5,0,-207,0,0,-14.74,3,65.54
2019-02-22 16:00:00,16.92,-2.3,203,0,0,0,-16.44,3,82.61
2019-02-25 16:00:00,23.88,-2.14,161.46,0,0,-5536,-21,4,88.06
2019-02-26 16:00:00,22.39,-2.14,0,-0.14,0,-3140,-20.04,4,88.05
2019-02-27 16:00:00,22.18,-2.24,0,-98,0,0,-19.99,3,63.71
2019-02-28 16:00:00,21.88,-2.26,0,-26,0,0,-19.81,3,68.86
2019-03-01 16:00:00,24.55,-2.2,59,0,0,0,-21.48,0,48.37
2019-03-04 16:00:00,26.02,-2.19,14,0,0,0,-22.39,3,57.33
2019-03-05 16:00:00,26.75,-2.17,21.6,0,0,-1400,-22.82,4,87.94
2019-03-06 16:00:00,27.82,-2.09,79,0,0,0,-23.4,3,83.24
2019-03-07 16:00:00,26.51,-2,88,0,0,0,-22.54,3,81.19
2019-03-08 16:00:00,21.49,-2.14,0,-140.63,0,-632,-19.45,4,88.3
2019-03-11 16:00:00,23.89,-1.99,150,0,0,0,-20.89,0,46.02
2019-03-12 16:00:00,24.74,-2.01,0,-21,0,0,-21.44,3,55.09
2019-03-13 16:00:00,23.7,-2,15,0,0,0,-20.78,3,70.55
2019-03-14 16:00:00,22.85,-2.05,0,-52.29,0,-289,-20.27,0,35.81
2019-03-15 16:00:00,24.39,-2.01,38.6,0,0,-400,-21.22,0,18.2
2019-03-18 16:00:00,27.94,-2.31,0,-295,18570,0,-23.64,3,55.88
2019-03-19 16:00:00,27.35,-2.38,0,-77,0,0,-23.35,3,56.16
2019-03-20 16:00:00,27.4,-2.45,0,-70,0,0,-23.43,3,63.03
2019-03-21 16:00:00,27.44,-2.22,237,0,0,0,-23.27,3,66.95
2019-03-22 16:00:00,27.34,-1.75,470,0,0,0,-22.84,3,75.07
2019-03-25 16:00:00,24.32,-1.99,0,-238,0,0,-21.16,3,67.26
2019-03-26 16:00:00,22.91,-2.59,0,-605,0,0,-20.75,3,74.43
2019-03-27 16:00:00,24.34,-2.42,170.13,0,0,-8874,-21.52,0,30.59
2019-03-28 16:00:00,23.84,-3.38,0,-961,9540,0,-21.98,3,78.13
2019-03-29 16:00:00,28.62,-4.27,0,-887.63,0,-18627,-25.57,0,33.37
2019-04-01 16:00:00,32,-4.27,0,0,0,0,-27.48,4,86.04
2019-04-02 16:00:00,31.91,-4.27,0,0,0,0,-27.43,4,87.91
2019-04-03 16:00:00,33.6,-2.78,1486,0,18956,0,-27.23,3,78.48
2019-04-04 16:00:00,34.93,-3.35,0,-568,17938,0,-28.37,3,74.42
2019-04-08 16:00:00,34.76,-3.84,0,-487,0,0,-28.64,3,72.12
2019-04-09 16:00:00,35.37,-3.17,672.52,0,0,-8480,-28.47,3,75.61
2019-04-10 16:00:00,35.71,-2.82,347,0,8795,0,-28.39,3,56.49
2019-04-11 16:00:00,32.78,-3.3,0,-480,0,0,-27.17,3,67.19
2019-04-12 16:00:00,32.48,-4.23,0,-926.94,0,-8944,-27.71,0,50.26
2019-04-15 16:00:00,32.05,-3.72,505.31,0,0,-19686,-27.09,0,51.66
2019-04-16 16:00:00,35.71,-2.8,923,0,18053,0,-28.38,3,55.13
2019-04-17 16:00:00,35.76,-2.84,0,-39,9568,0,-28.43,3,81.53
2019-04-18 16:00:00,35.26,-2.67,168,0,0,0,-28.04,3,72.43
2019-04-19 16:00:00,36.87,-2.17,502,0,0,0,-28.52,3,58.65
2019-04-22 16:00:00,33.71,-3.02,0,-851,0,0,-27.47,3,68.14
2019-04-23 16:00:00,33.49,-3.99,0,-974,0,0,-28.08,3,61.91
2019-04-24 16:00:00,33.86,-4.13,0,-139.2,0,-8196,-28.38,0,27.4
2019-04-25 16:00:00,30.93,-5.66,0,-1531,9272,0,-27.95,3,55.34
2019-04-26 16:00:00,29.18,-6.7,0,-1036.79,0,-8790,-27.78,0,25.21
2019-04-29 16:00:00,29.55,-6.67,26.49,0,0,-17511,-27.96,0,42.16
2019-04-30 16:00:00,29.98,-6.6,70.24,0,1466,-8757,-28.14,0,17.02
2019-05-06 16:00:00,22.39,-6.92,0,-314,14632,0,-23.95,2,40.18
2019-05-07 16:00:00,23.58,-5.82,1097,0,0,0,-23.79,2,44.73
2019-05-08 16:00:00,21.82,-6.51,0,-690,0,0,-23.26,3,58.7
2019-05-09 16:00:00,19.57,-7.41,0,-898,0,0,-22.56,3,53.91
2019-05-10 16:00:00,23.91,-6.77,632.47,0,0,-6526,-24.76,0,32.91
2019-05-13 16:00:00,21.86,-7.09,0,-315,0,0,-23.76,4,79.9
2019-05-14 16:00:00,21.08,-7.2,0,-112,1374,0,-23.36,0,49.74
2019-05-15 16:00:00,23.8,-6.76,445,0,0,0,-24.68,3,51.28
2019-05-16 16:00:00,24.36,-6.92,0,-165,0,0,-25.15,3,70.66
2019-05-17 16:00:00,21.2,-7.68,0,-759.45,0,-1450,-23.83,3,62.63
2019-05-20 16:00:00,20.17,-7.65,29.75,0,1533,-7247,-23.15,0,30.43
2019-05-21 16:00:00,21.79,-7.63,16,0,0,0,-24.16,0,30.83
2019-05-22 16:00:00,21.22,-8.33,0,-697,17036,0,-24.38,3,72.77
2019-05-23 16:00:00,19.04,-8.55,0,-218,0,0,-23.18,3,59.66
2019-05-24 16:00:00,19.37,-9.03,0,-477.79,0,-7792,-23.79,0,19.96
2019-05-27 16:00:00,20.81,-8.89,133.04,0,0,-7959,-24.58,0,24.32
2019-05-28 16:00:00,21.98,-8.81,83,0,0,0,-25.24,4,78.5
2019-05-29 16:00:00,21.7,-8.79,23.26,0,0,-735,-25.05,4,75.21
2019-05-30 16:00:00,20.94,-9.21,0,-421,16758,0,-24.93,3,64.93
2019-05-31 16:00:00,20.56,-9.09,122,0,0,0,-24.59,3,51.32
2019-06-03 16:00:00,20.64,-9.53,0,-440.74,0,-11742,-25.01,4,68.44
2019-06-04 16:00:00,19.52,-10.01,0,-482,0,0,-24.71,0,29.45
2019-06-05 16:00:00,19.48,-10.04,0,-34.23,0,-4228,-24.71,0,21.41
2019-06-06 16:00:00,18.4,-11.07,0,-1023,17360,0,-24.89,3,56.92
2019-06-10 16:00:00,19.93,-10.83,234.06,0,0,-7938,-25.65,0,18.79
2019-06-11 16:00:00,23.54,-10.18,654,0,8300,0,-27.29,3,59.61
2019-06-12 16:00:00,22.6,-10.75,0,-569.98,0,-3977,-27.2,4,85.45
2019-06-13 16:00:00,22.41,-10.78,0,-33.4,0,0,-27.11,3,73.46
