时间,基准收益,策略收益,当日盈利,当日亏损,当日买入,当日卖出,超额收益(%),emotion_phase,emotion_score
2019-01-02 16:00:00,-1.37,0,0,0,0,0,1.39,4,80.25
2019-01-03 16:00:00,-1.52,0.34,343,0,5204,0,1.89,3,66.06
2019-01-04 16:00:00,0.84,1.38,1036,0,11830,0,0.54,3,65.68
2019-01-07 16:00:00,1.45,2.65,1270.42,0,0,-6585,1.18,4,90.56
2019-01-08 16:00:00,1.23,2.93,283.06,0,0,-5942,1.68,4,76.79
2019-01-09 16:00:00,2.25,2.66,0,-276.1,9410,-2096,0.4,3,61.17
2019-01-10 16:00:00,2.06,2.45,0,-207.69,0,-2695,0.38,4,72.4
2019-01-11 16:00:00,2.79,3.05,598,0,9800,0,0.25,3,56.48
2019-01-14 16:00:00,1.9,3.23,183,0,0,0,1.31,3,53.51
2019-01-15 16:00:00,3.9,2.94,0,-288,0,0,-0.92,3,52.54
2019-01-16 16:00:00,3.92,3.12,183,0,0,0,-0.77,4,72.42
2019-01-17 16:00:00,3.35,1.54,0,-1584,0,0,-1.75,3,59.23
2019-01-18 16:00:00,5.23,1.1,0,-439.29,0,-8290,-3.92,3,63.09
2019-01-21 16:00:00,5.81,1.54,436.49,0,9856,-1511,-4.04,3,59.36
2019-01-22 16:00:00,4.41,1.44,0,-98,0,0,-2.84,4,73.74
2019-01-23 16:00:00,4.33,1.14,0,-296,9912,0,-3.06,3,50.41
2019-01-24 16:00:00,4.92,0.5,0,-645,0,0,-4.21,3,64.14
2019-01-25 16:00:00,5.77,-0.12,0,-615.74,0,-9744,-5.57,3,68.8
2019-01-28 16:00:00,5.75,-0.23,0,-112.79,0,-9786,-5.65,4,70.59
2019-01-29 16:00:00,6.09,-0.3,0,-69.25,941,-9248,-6.02,0,29.62
2019-01-30 16:00:00,5.24,-0.39,0,-92,1210,0,-5.35,0,39.25
2019-01-31 16:00:00,6.34,-0.44,0,-53.89,1630,-887,-6.38,0,23.29
2019-02-01 16:00:00,7.86,-0.33,116.89,0,1528,-1106,-7.59,0,21.86
2019-02-11 16:00:00,9.83,-0.09,235,0,19625,0,-9.03,3,65.35
2019-02-12 16:00:00,10.62,0.45,544.47,0,0,-1532,-9.19,4,83.6
2019-02-13 16:00:00,12.83,0.65,194.2,0,0,-796,-10.8,4,81.19
2019-02-14 16:00:00,13,1.72,1076.43,0,0,-570,-9.98,4,79.28
2019-02-15 16:00:00,10.9,1.44,0,-286.54,0,-5544,-8.53,4,74
2019-02-18 16:00:00,14.45,1.86,423.24,0,0,-2760,-11,4,82.44
2019-02-19 16:00:00,14.25,1.76,0,-102.4,0,-6399,-10.93,4,89.21
2019-02-20 16:00:00,14.66,1.83,76.81,0,0,-3191,-11.19,4,74.89
2019-02-21 16:00:00,14.35,1.87,41,0,0,0,-10.91,3,65.54
2019-02-22 16:00:00,16.92,1.98,101.37,0,0,-1627,-12.78,4,82.61
2019-02-25 16:00:00,23.88,2.11,138.43,0,0,-565,-17.57,4,88.06
2019-02-26 16:00:00,22.39,2.15,39.4,0,0,-600,-16.54,4,88.05
2019-02-27 16:00:00,22.18,2.2,47,0,0,0,-16.35,3,63.71
2019-02-28 16:00:00,21.88,2.12,0,-78,0,0,-16.21,3,68.86
2019-03-01 16:00:00,24.55,2.11,0,-13,0,0,-18.02,0,48.37
2019-03-04 16:00:00,26.02,2.17,61,0,0,0,-18.93,3,57.33
2019-03-05 16:00:00,26.75,2.22,49,0,0,0,-19.35,4,87.94
2019-03-06 16:00:00,27.82,2.25,30,0,0,0,-20,4,83.24
2019-03-07 16:00:00,26.51,2.35,104,0,0,0,-19.1,4,81.19
2019-03-08 16:00:00,21.49,2.18,0,-169,0,0,-15.89,4,88.3
2019-03-11 16:00:00,23.89,2.26,73,0,0,0,-17.46,0,46.02
2019-03-12 16:00:00,24.74,2.28,24,0,0,0,-18.01,3,55.09
2019-03-13 16:00:00,23.7,2.35,69,0,0,0,-17.26,4,70.55
2019-03-14 16:00:00,22.85,2.22,0,-135.29,0,-289,-16.79,0,35.81
2019-03-15 16:00:00,24.39,2.19,0,-28.05,0,-1054,-17.85,0,18.2
2019-03-18 16:00:00,27.94,1.81,0,-376,23933,0,-20.42,3,55.88
2019-03-19 16:00:00,27.35,1.18,0,-636,12201,0,-20.55,3,56.16
2019-03-20 16:00:00,27.4,1.29,112,0,0,0,-20.49,3,63.03
2019-03-21 16:00:00,27.44,1.36,70,0,0,0,-20.46,3,66.95
2019-03-22 16:00:00,27.34,1.92,567,0,0,0,-19.96,4,75.07
2019-03-25 16:00:00,24.32,1.44,0,-489,0,0,-18.4,3,67.26
2019-03-26 16:00:00,22.91,0.43,0,-1010,0,0,-18.29,4,74.43
2019-03-27 16:00:00,24.34,0.73,300,0,0,-23001,-18.99,0,30.59
2019-03-28 16:00:00,23.84,0.33,0,-393,0,0,-18.98,4,78.13
2019-03-29 16:00:00,28.62,0.29,0,-45.91,1457,-11909,-22.03,0,33.37
2019-04-01 16:00:00,32,0.32,34,0,0,0,-24,4,86.04
2019-04-02 16:00:00,31.91,0.31,0,-15,0,0,-23.96,4,87.91
2019-04-03 16:00:00,33.6,0.29,0,-12,0,0,-24.93,4,78.48
2019-04-04 16:00:00,34.93,0.29,1,0,0,0,-25.67,4,74.42
2019-04-08 16:00:00,34.76,0.26,0,-36,0,0,-25.6,4,72.12
2019-04-09 16:00:00,35.37,0.28,19,0,0,0,-25.92,4,75.61
2019-04-10 16:00:00,35.71,0.75,470,0,21719,0,-25.76,3,56.49
2019-04-11 16:00:00,32.78,0.39,0,-361,0,0,-24.39,3,67.19
2019-04-12 16:00:00,32.48,-1.1,0,-1489,11760,0,-25.35,3,50.26
2019-04-15 16:00:00,32.05,-0.44,662.75,0,0,-12249,-24.6,3,51.66
2019-04-16 16:00:00,35.71,1.83,2265,0,23635,0,-24.96,3,55.13
2019-04-17 16:00:00,35.76,1.8,0,-23.08,0,-11076,-25.01,4,81.53
2019-04-18 16:00:00,35.26,2.45,651.15,0,0,-5845,-24.26,4,72.43
2019-04-19 16:00:00,36.87,3.21,757,0,0,0,-24.59,3,58.65
2019-04-22 16:00:00,33.71,1.95,0,-1263,0,0,-23.75,3,68.14
2019-04-23 16:00:00,33.49,1.05,0,-902,0,0,-24.3,3,61.91
2019-04-24 16:00:00,33.86,1.09,48.07,0,0,-10928,-24.48,0,27.4
2019-04-25 16:00:00,30.93,-0.48,0,-1570,11590,0,-23.99,3,55.34
2019-04-26 16:00:00,29.18,-1.44,0,-967.52,0,-3516,-23.7,0,25.21
2019-04-29 16:00:00,29.55,-1.38,66.17,0,0,-13834,-23.87,0,42.16
2019-04-30 16:00:00,29.98,-1.3,75.74,0,1466,-11259,-24.07,0,17.02
2019-05-06 16:00:00,22.39,-1.62,0,-314,14632,0,-19.62,2,40.18
2019-05-07 16:00:00,23.58,-0.52,1097,0,0,0,-19.5,2,44.73
2019-05-08 16:00:00,21.82,-1.21,0,-690,0,0,-18.9,3,58.7
